,TXNDATE,TXNID,SKU,KEYWORD,SELLPRICE,COST,QUANTITY,YEAR,MONTH
0,4/3/17 13:20,1.70403E+17,71442,HEINEKEN REG NR 2/12PK 12 OZ 12-PACK,13.99,13.63,1,2017,4
1,4/3/17 13:20,1.70403E+17,71441,HEINEKEN REG NR 2/12PK 12 OZ 24-PACK,27.99,27.25,1,2017,4
2,4/3/17 13:20,1.70403E+17,71442,HEINEKEN REG NR 2/12PK 12 OZ 12-PACK,13.99,13.63,1,2017,4
3,4/4/17 4:49,1.70404E+17,69455,LIMES,0.75,0.35,1,2017,4
4,4/4/17 4:49,1.70404E+17,71406,ICE CUBES,2.49,1.1,1,2017,4
5,4/4/17 4:49,1.70404E+17,71593,GUMS ALL TYPES,1.17,0.72,1,2017,4
6,4/4/17 11:30,1.70404E+17,68908,CORBETT CANYON CABERNET  1.5 LT,8.99,7.09,1,2017,4
7,4/4/17 11:31,1.70404E+17,69846,GORDONS VODKA 80  1.75 LT,18.99,18.09,1,2017,4
8,4/4/17 11:54,1.70404E+17,70262,LICOR #43    750 ML,20.99,20.39,1,2017,4
9,4/4/17 11:54,1.70404E+17,66179,BERINGER CHENIN BLANC  1.5 LT,9.99,9.19,1,2017,4
10,4/4/17 12:17,1.70404E+17,69815,BUD REGULAR NR 4/6PK 12 OZ 6-PACK,6.99,4.86,1,2017,4
11,4/4/17 12:17,1.70404E+17,71323,BUD REGULAR 25OZ-CS 25 OZ SINGLE,1.49,1.15,2,2017,4
12,4/4/17 12:18,1.70404E+17,66993,CRISTAL AGUARDIENTE SIN AZUCAR 750 ML,15.99,13.09,1,2017,4
13,4/4/17 12:19,1.70404E+17,66980,BUFFALO TRACE 90 PF  1 LT,27.99,22.39,1,2017,4
14,4/4/17 12:20,1.70404E+17,66983,CRANE LAKE PETITE SIRAH  750 ML,4.99,3.55,1,2017,4
15,4/4/17 12:20,1.70404E+17,65496,DRY SACK SHERRY  750 ML,13.99,13.01,1,2017,4
16,4/4/17 12:32,1.70404E+17,67737,TOMAIOLO CHIANTI RISERVA 750 ML,9.99,6.25,2,2017,4
17,4/4/17 12:34,1.70404E+17,70373,AMSTEL LIGHT NR 2/12PK  12 OZ 12-PACK,14.99,13.63,1,2017,4
18,4/4/17 12:35,1.70404E+17,71282,SKYY VODKA  1.75 LT,21.99,21.09,1,2017,4
19,4/4/17 12:40,1.70404E+17,69060,SAN PIETRO PINOT GRIGIO  750 ML 2017,11.99,8.67,1,2017,4
20,4/4/17 12:43,1.70404E+17,71280,S MARGHERITA PINOT GRIGIO  750 ML,20.99,20.1,1,2017,4
21,4/4/17 12:45,1.70404E+17,65563,CHRISTIAN BROS VSOP BRANDY  750 ML,12.99,9.59,1,2017,4
22,4/4/17 12:45,1.70404E+17,68848,BULLEIT 95% RYE WHISKEY  1.75 LT,48.99,48,1,2017,4
23,4/4/17 12:45,1.70404E+17,62850,MUDDY GALAXY X2 CAN 16 OZ 4-PACK,10.99,8.33,1,2017,4
24,4/4/17 12:45,1.70404E+17,68093,MAYR GRUNER  1 LT 2015,11.99,8,1,2017,4
25,4/4/17 12:47,1.70404E+17,70321,MICHELOB ULTRA NR 4/6PK 12 OZ 6-PACK,7.25,5.89,1,2017,4
26,4/4/17 12:47,1.70404E+17,71417,TITO'S HANDMADE VODKA 200ML 200 ML,8.99,6,1,2017,4
27,4/4/17 12:48,1.70404E+17,63586,LAYS BAKED REGULAR,1.69,1.18,1,2017,4
28,4/4/17 12:50,1.70404E+17,70854,ALMADEN MERLOT IN A BOX  5 LT,17.99,17.09,1,2017,4
29,4/4/17 12:50,1.70404E+17,69061,DOM DE LA PAULINE SANCERRE  750 ML 2016,17.99,13.33,1,2017,4
30,4/4/17 12:50,1.70404E+17,70743,PASCAL JOLIVET SANCERRE  750 ML 2017 WS91,19.99,15,1,2017,4
31,4/4/17 12:50,1.70404E+17,65588,MYERS ORIGINAL PLANTERS  1.75 LT,38.99,38.09,1,2017,4
32,4/4/17 12:50,1.70404E+17,67554,SHAYA VERDEJO 2016  750 ML,9.99,7.33,1,2017,4
33,4/4/17 12:50,1.70404E+17,64319,CHROME WINGED CORKSCREW,4.49,2.69,1,2017,4
34,4/4/17 12:50,1.70404E+17,64715,MONCHHOF MOSEL SLATE SPAT 2012 750 ML,24.99,16.72,1,2017,4
35,4/4/17 12:50,1.70404E+17,71187,ALMADEN CABERNET  5 LT,17.99,17.09,1,2017,4
36,4/4/17 12:51,1.70404E+17,65419,DEKUYPER SOUR APPLE PUCKER  750 ML,9.99,9.09,1,2017,4
37,4/4/17 12:51,1.70404E+17,71598,FIREBALL CINNAMON WHISKEY  50 ML,0.99,0.69,10,2017,4
38,4/4/17 12:52,1.70404E+17,71326,KENDALL JACKSON AVANT CHARD 14 750 ML,11.99,11.33,2,2017,4
39,4/4/17 12:53,1.70404E+17,71265,J LOHR CABERNET SEVEN OAKS  750 ML,12.99,12.99,1,2017,4
40,4/4/17 13:18,1.70404E+17,70178,SMOKING LOON PINOT NOIR 750 ML,7.99,7.09,2,2017,4
41,4/4/17 13:20,1.70404E+17,69197,JOSE CUERVO GOLD  750 ML,17.99,17.09,1,2017,4
42,4/4/17 13:20,1.70404E+17,71288,SODA 12OZ CAN CASE 12 OZ SINGLE,1,0.38,1,2017,4
43,4/4/17 13:20,1.70404E+17,70230,VENDANGE CAB SAUV  1.5 LT,8.99,8.19,1,2017,4
44,4/4/17 13:20,1.70404E+17,70958,PARLIAMENT WHITE,8.95,7.86,2,2017,4
45,4/4/17 13:20,1.70404E+17,70132,VINO RUSTICO RED 16%  #4680070,16.99,12.49,1,2017,4
46,4/4/17 13:21,1.70404E+17,69535,WOODBRIDGE PG  1.5 LT,10.99,10.4,1,2017,4
47,4/4/17 13:22,1.70404E+17,71598,FIREBALL CINNAMON WHISKEY  50 ML,0.99,0.69,5,2017,4
48,4/4/17 13:25,1.70404E+17,65102,ANDERSON VALLEY BOURB BRL 22OZ 22 OZ,8.99,7.09,1,2017,4
49,4/4/17 13:30,1.70404E+17,70721,JOHN JAMESON  375 ML,17.99,11.43,1,2017,4
50,4/4/17 13:30,1.70404E+17,69044,ROCCA DI CASTAGNOLI CHIANTI 750 ML 2015 WS90,13.99,10.09,1,2017,4
51,4/4/17 13:30,1.70404E+17,69120,FERRARI-CARANO FUME BLANC  750 ML,11.99,9.33,1,2017,4
52,4/4/17 13:30,1.70404E+17,69214,BACARDI TORCHED CHERRY  750 ML,17.99,14.09,1,2017,4
53,4/4/17 13:31,1.70404E+17,71534,NAKED GRAPE PINOT GRIGIO  3 LT,17.99,17.09,1,2017,4
54,4/4/17 13:32,1.70404E+17,70131,LA CREMA CHARDONNAY  750 ML,16.99,16,1,2017,4
55,4/4/17 13:32,1.70404E+17,70501,LAYER CAKE CHARDONNAY 750 ML,13.99,11.33,1,2017,4
56,4/4/17 13:33,1.70404E+17,65987,GALLO TWIN VALLEY PN  750 ML,4.99,3.01,1,2017,4
57,4/4/17 13:33,1.70404E+17,68285,SUTTER HOME SWEET RED  750 ML,5.99,4.67,1,2017,4
58,4/5/17 8:17,1.70405E+17,61331,LAYS BACON MAC & CHEESE,1.69,1.04,1,2017,4
59,4/5/17 11:18,1.70405E+17,67018,OXFORD LANDING CHARDONNAY  750 ML,6.99,5,1,2017,4
60,4/5/17 11:18,1.70405E+17,66645,JACOBS CREEK SHIRAZ/CAB  750 ML,6.99,6.33,1,2017,4
61,4/5/17 11:18,1.70405E+17,70876,BOGLE CHARDONNAY  750 ML,7.99,6.03,2,2017,4
62,4/5/17 11:19,1.70405E+17,65615,SEAGRAMS SEVEN CROWN  375 ML,10.99,8.2,1,2017,4
63,4/5/17 11:21,1.70405E+17,70894,GUINESS STOUT 22OZ NR 22 OZ,2.49,1.96,1,2017,4
64,4/5/17 11:22,1.70405E+17,71092,ROLLING ROCK CANS 12 OZ 6-PACK,4.99,4.13,1,2017,4
65,4/5/17 11:22,1.70405E+17,71555,PABST 24OZ CAN CS 24 OZ SINGLE,1.25,0.87,1,2017,4
66,4/5/17 11:22,1.70405E+17,71394,BUD ICE 25OZ CANS CASE 25 OZ SINGLE,0.99,0.76,1,2017,4
67,4/5/17 11:24,1.70405E+17,65058,BACARDI GOLD   750 ML,11.99,11.09,1,2017,4
68,4/5/17 11:25,1.70405E+17,71339,AMERICAN SPIRITS,9.25,7.91,1,2017,4
69,4/5/17 11:25,1.70405E+17,71340,BOSCO DEI CIRMIOLI  MONTE 1.5 LT,7.99,5.33,1,2017,4
70,4/5/17 11:28,1.70405E+17,71712,TWO ROADS PASSIONFRUIT GOSE CS 4-PACK,11.99,9.58,1,2017,4
71,4/5/17 11:28,1.70405E+17,62180,TWO ROADS RYE 95  6PK 6-PACK,11.99,9.22,1,2017,4
72,4/5/17 11:28,1.70405E+17,62290,OMMEGANG URBAN CHESTNUT 4PK 4-PACK,9.99,7.66,1,2017,4
73,4/5/17 11:28,1.70405E+17,63912,SIXPOINT HI RES CAN  12 OZ 4-PACK,11.99,9.22,1,2017,4
74,4/5/17 11:29,1.70405E+17,67994,FUZELO VINHO VERDE 750 ML,4.99,3.75,1,2017,4
75,4/5/17 11:29,1.70405E+17,66199,GAZELA VINHO VERDE 750 ML,5.99,4.17,1,2017,4
76,4/5/17 11:29,1.70405E+17,70764,RUM CHATA  750 ML,19.99,19,1,2017,4
77,4/5/17 11:29,1.70405E+17,65216,PATRON CITRONGE MANGO  750 ML,19.99,19.09,1,2017,4
78,4/5/17 11:29,1.70405E+17,69919,CASAL GARCIA VINHO VERDE WHITE 750 ML,6.99,4.33,1,2017,4
79,4/5/17 11:29,1.70405E+17,66567,SOMRUS CREAM LIQUEUR 750 ML,23.99,23,2,2017,4
80,4/5/17 11:30,1.70405E+17,66155,GREG NORMAN SHIRAZ/CAB 750 ML,11.99,11.39,1,2017,4
81,4/5/17 11:30,1.70405E+17,64343,TWISTED TEA 24OZ CASE 24 OZ SINGLE,2.5,1.95,3,2017,4
82,4/5/17 11:31,1.70405E+16,70907,CK MONDAVI CHARDONNAY  1.5 LT,10.99,10.39,1,2017,4
83,4/5/17 11:32,1.70405E+16,71542,YUENGLING LAGER CAN 2/12PK 24-PACK,21.99,19,1,2017,4
84,4/5/17 11:32,1.70405E+16,65050,CROWN ROYAL APPLE  50 ML,0.99,0.79,2,2017,4
85,4/5/17 11:33,1.70405E+16,69614,GORDONS GIN  1.75 LT,19.99,19.09,1,2017,4
86,4/5/17 11:35,1.70405E+17,64219,MILLER LITE 12OZ CAN CASE 12 OZ 6-PACK,5.99,4.5,1,2017,4
87,4/5/17 11:35,1.70405E+17,69587,CONCHA Y TORO FRONTERA SAUV 1.5 LT,8.99,8,2,2017,4
88,4/5/17 11:35,1.70405E+17,69393,LANDSHARK LAGER-2/12PK NR 12 OZ 24-PACK,14.99,12.27,1,2017,4
89,4/5/17 11:36,1.70405E+17,69121,COINTREAU LIQUEUR  1 LT,30.99,30.5,2,2017,4
90,4/5/17 11:38,1.70405E+17,69950,COPPER RIDGE MERLOT 750 ML,3.99,2.87,12,2017,4
91,4/5/17 11:39,1.70405E+17,69508,REX & GOLIATH PINOT NOIR  1.5 LT,10.99,10.09,1,2017,4
92,4/5/17 11:39,1.70405E+17,71603,CAVIT PINOT GRIGIO  1.5 LT,13.99,13.09,1,2017,4
93,4/5/17 11:39,1.70405E+17,70127,JIM BEAM BOURBON 200 200 ML,5.99,4.07,2,2017,4
94,4/5/17 11:40,1.70405E+17,71598,FIREBALL CINNAMON WHISKEY  50 ML,0.99,0.69,2,2017,4
95,4/5/17 11:40,1.70405E+17,70597,BUD LIGHT ALUM NR 16OZ 15PK 16 OZ SINGLE,1.25,0.91,5,2017,4
96,4/5/17 11:40,1.70405E+17,71168,SMIR  MALT APPLE12OZ CASE 12 OZ 6-PACK,8.99,6.93,1,2017,4
97,4/5/17 11:41,1.70405E+17,71062,BAREFOOT PINK MOSCATO  750 ML,6.99,6.01,1,2017,4
98,4/5/17 11:41,1.70405E+17,69940,DUGGAN'S IRISH CREAM  750 ML,13.99,10.5,3,2017,4
99,4/5/17 11:42,1.70405E+17,70618,CARLO ROSSI PAISANO  1.5 LT,8.99,6.67,1,2017,4
100,4/5/17 11:42,1.70405E+17,70386,BEER NUTS ORIGINAL 12OZ 12 OZ,5.99,3.95,1,2017,4
101,4/5/17 11:42,1.70405E+17,71266,E & J BRANDY VS  50 ML,0.99,0.71,1,2017,4
102,4/5/17 11:42,1.70405E+17,71602,COORS LT CANS 12 OZ 6-PACK,5.99,4.5,1,2017,4
103,4/5/17 11:42,1.70405E+17,71296,MAJORSKA VODKA 375 375 ML,4.69,3.55,1,2017,4
104,4/5/17 11:43,1.70405E+16,67366,QUINTA DO NOVAL TAWNY PORT  750 ML,14.99,11.33,2,2017,4
105,4/5/17 11:43,1.70405E+16,71651,SLIM JIM ALL TYPES,0.99,0.8,1,2017,4
106,4/5/17 11:44,1.70405E+17,71281,MR & MRS T BOLD & SPICEY QT 32 OZ,3.99,2.58,1,2017,4
107,4/5/17 11:44,1.70405E+17,71157,OPICI HOMEMADE BARBERONE  3 LT,13.99,11.69,2,2017,4
108,4/5/17 11:44,1.70405E+17,63506,MR & MRS T BLOODY MARY REGULAR 32 OZ,3.99,2.58,1,2017,4
109,4/5/17 11:44,1.70405E+17,71591,ABSOLUT 80 VODKA  1.75 LT,29.99,29.09,1,2017,4
110,4/5/17 11:44,1.70405E+17,71440,COORS LT 8OZ CAN  8 OZ 8-PACK,4.99,4.08,1,2017,4
111,4/5/17 11:44,1.70405E+17,69612,BAREFOOT RED MOSCATO  750 ML,6.99,6.01,1,2017,4
112,4/5/17 11:45,1.70405E+17,69812,FRANZIA CHILLABLE RED 5LT BOX 5 LT,13.99,13.09,1,2017,4
113,4/5/17 11:45,1.70405E+17,71636,GENESEE ICE 24OZ CAN SNG 24 OZ SINGLE,0.99,0.75,3,2017,4
114,4/5/17 11:46,1.70405E+16,71460,MILLER LITE 12OZ NR 12PK CASE  12 OZ 12-PACK,11.99,9,1,2017,4
115,4/5/17 11:47,1.70405E+17,71250,CORONA EXTRA NR 2/12PK  12 OZ 12-PACK,14.99,13.68,1,2017,4
116,4/5/17 11:47,1.70405E+17,63724,COORS LT 7OZ  6-PACK CASE 7 OZ 6-PACK,4.99,3.38,1,2017,4
117,4/5/17 11:47,1.70405E+17,71598,FIREBALL CINNAMON WHISKEY  50 ML,0.99,0.69,1,2017,4
118,4/5/17 11:49,1.70405E+17,71569,JACK DANIELS GREEN LABEL  1.75 LT,39.99,39.59,1,2017,4
119,4/5/17 11:49,1.70405E+17,70421,MILLER LITE 12OZ NR CASE LOOSE 12 OZ,18.99,18,1,2017,4
120,4/5/17 11:50,1.70405E+17,71282,SKYY VODKA  1.75 LT,21.99,21.09,6,2017,4
121,4/5/17 11:52,1.70405E+17,70286,BUD LIGHT NR 4/6PK  12 OZ 24-PACK,24.99,19.45,1,2017,4
122,4/5/17 11:52,1.70405E+17,71410,CORONA EXTRA NR 4/6PK 12 OZ 6-PACK,8.99,6.88,1,2017,4
123,4/5/17 11:54,1.70405E+17,69174,BROOKLYN CHOCOLATE STOUT CASE 6-PACK,12.99,9.75,1,2017,4
124,4/5/17 11:54,1.70405E+17,70896,SOUTHERN TIER LIVE 12OZ NR CS 12 OZ 6-PACK,9.99,7,1,2017,4
125,4/5/17 11:55,1.70405E+17,70071,SIERRA NEVADA PALE NR 4/6PK 12 OZ 6-PACK,8.99,7.25,1,2017,4
126,4/5/17 11:58,1.70405E+17,69587,CONCHA Y TORO FRONTERA SAUV 1.5 LT,8.99,8,1,2017,4
127,4/5/17 11:58,1.70405E+17,69615,CONCHA Y TORO FRONTERA MALBEC 1.5 LT,8.99,8,1,2017,4
128,4/5/17 11:58,1.70405E+17,66098,DARK HORSE ROSE 750 ML,7.99,7.09,1,2017,4
129,4/5/17 14:11,1.70405E+17,69081,TITO'S HANDMADE VODKA  50 ML,1.99,1.33,5,2017,4
130,4/5/17 14:11,1.70405E+17,71376,KENWOOD SONOMA SAUV BLANC  750 ML 2016,10.99,10.09,3,2017,4
131,4/5/17 14:12,1.70405E+17,68994,BULLEIT 95% RYE WHISKEY  750 ML,27.99,27,1,2017,4
132,4/5/17 14:13,1.70405E+17,64343,TWISTED TEA 24OZ CASE 24 OZ SINGLE,2.5,1.95,2,2017,4